[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 2080 Ti
 Shmoo Mode

.............................................................................................................
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 38.6 GB/s, Time = 0.00000 s, Size = 100000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 40.6 GB/s, Time = 0.00000 s, Size = 200000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 91.9 GB/s, Time = 0.00000 s, Size = 300000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 63.1 GB/s, Time = 0.00001 s, Size = 400000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 146.0 GB/s, Time = 0.00000 s, Size = 500000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 109.6 GB/s, Time = 0.00001 s, Size = 600000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 201.6 GB/s, Time = 0.00000 s, Size = 700000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 117.1 GB/s, Time = 0.00001 s, Size = 800000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 212.3 GB/s, Time = 0.00000 s, Size = 900000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 150.2 GB/s, Time = 0.00001 s, Size = 1000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 255.6 GB/s, Time = 0.00001 s, Size = 2000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 352.4 GB/s, Time = 0.00001 s, Size = 3000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 518.7 GB/s, Time = 0.00001 s, Size = 4000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 357.1 GB/s, Time = 0.00001 s, Size = 5000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 441.7 GB/s, Time = 0.00001 s, Size = 6000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 452.4 GB/s, Time = 0.00002 s, Size = 7000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 414.6 GB/s, Time = 0.00002 s, Size = 8000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 474.7 GB/s, Time = 0.00002 s, Size = 9000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 442.3 GB/s, Time = 0.00002 s, Size = 10000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 474.5 GB/s, Time = 0.00002 s, Size = 11000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 450.5 GB/s, Time = 0.00003 s, Size = 12000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 440.9 GB/s, Time = 0.00003 s, Size = 13000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 446.9 GB/s, Time = 0.00003 s, Size = 14000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 494.2 GB/s, Time = 0.00003 s, Size = 15000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 504.5 GB/s, Time = 0.00003 s, Size = 16000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 478.9 GB/s, Time = 0.00004 s, Size = 18000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 510.6 GB/s, Time = 0.00004 s, Size = 20000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 508.3 GB/s, Time = 0.00004 s, Size = 22000000 bytes, NumDevsUsed = 1
